path,classification,sqs_queue,of_algorithm
aolme/data/typing/seg_1.mp4,1,feature_queue,farneback
aolme/data/typing/seg_2.mp4,1,feature_queue,farneback
aolme/data/typing/seg_3.mp4,1,feature_queue,farneback
aolme/data/typing/seg_4.mp4,1,feature_queue,farneback
aolme/data/typing/seg_5.mp4,1,feature_queue,farneback
aolme/data/typing/seg_6.mp4,1,feature_queue,farneback
aolme/data/typing/seg_7.mp4,1,feature_queue,farneback
aolme/data/typing/seg_8.mp4,1,feature_queue,farneback
aolme/data/typing/seg_9.mp4,1,feature_queue,farneback
aolme/data/typing/seg_10.mp4,1,feature_queue,farneback
aolme/data/typing/seg_11.mp4,1,feature_queue,farneback
aolme/data/typing/seg_12.mp4,1,feature_queue,farneback
aolme/data/typing/seg_13.mp4,1,feature_queue,farneback
aolme/data/typing/seg_14.mp4,1,feature_queue,farneback
aolme/data/typing/seg_15.mp4,1,feature_queue,farneback
aolme/data/typing/seg_16.mp4,1,feature_queue,farneback
aolme/data/typing/seg_17.mp4,1,feature_queue,farneback
aolme/data/typing/seg_18.mp4,1,feature_queue,farneback
aolme/data/typing/seg_19.mp4,1,feature_queue,farneback
aolme/data/typing/seg_20.mp4,1,feature_queue,farneback
aolme/data/notyping/seg_1.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_2.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_3.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_4.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_5.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_6.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_7.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_8.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_9.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_10.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_11.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_12.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_13.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_14.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_15.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_16.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_17.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_18.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_19.mp4,2,feature_queue,farneback
aolme/data/notyping/seg_20.mp4,2,feature_queue,farneback
